,Internet,Email,Blog,WebBanner,Promotional,SmartPhone,Sales
91,28.6,1.5,33.0,28.6,1.5,33.0,7.3
94,107.4,14.0,10.9,107.4,14.0,10.9,11.5
95,163.3,31.6,52.9,163.3,31.6,52.9,16.9
96,197.6,3.5,5.9,197.6,3.5,5.9,11.7
97,184.9,21.0,22.0,184.9,21.0,22.0,15.5
100,222.4,4.3,49.8,222.4,4.3,49.8,11.7
103,187.9,17.2,17.9,187.9,17.2,17.9,14.7
106,25.0,11.0,29.7,25.0,11.0,29.7,7.2
107,90.4,0.3,23.2,90.4,0.3,23.2,8.7
108,13.1,0.4,25.6,13.1,0.4,25.6,5.3
112,175.7,15.4,2.4,175.7,15.4,2.4,14.1
113,209.6,20.6,10.7,209.6,20.6,10.7,15.9
115,75.1,35.0,52.7,75.1,35.0,52.7,12.6
116,139.2,14.3,25.6,139.2,14.3,25.6,12.2
117,76.4,0.8,14.8,76.4,0.8,14.8,9.4
119,19.4,16.0,22.3,19.4,16.0,22.3,6.6
120,141.3,26.8,46.2,141.3,26.8,46.2,15.5
121,18.8,21.7,50.4,18.8,21.7,50.4,7.0
122,224.0,2.4,15.6,224.0,2.4,15.6,11.6
123,123.1,34.6,12.4,123.1,34.6,12.4,15.2
125,87.2,11.8,25.9,87.2,11.8,25.9,10.6
127,80.2,0.0,9.2,80.2,0.0,9.2,8.8
129,59.6,12.0,43.1,59.6,12.0,43.1,9.7
132,8.4,27.2,2.1,8.4,27.2,2.1,5.7
133,219.8,33.5,45.1,219.8,33.5,45.1,19.6
138,43.0,25.9,20.5,43.0,25.9,20.5,9.6
140,73.4,17.0,12.9,73.4,17.0,12.9,10.9
143,104.6,5.7,34.4,104.6,5.7,34.4,10.4
144,96.2,14.8,38.9,96.2,14.8,38.9,11.4
145,140.3,1.9,9.0,140.3,1.9,9.0,10.3
146,240.1,7.3,8.7,240.1,7.3,8.7,13.2
149,44.7,25.8,20.6,44.7,25.8,20.6,10.1
151,121.0,8.4,48.7,121.0,8.4,48.7,11.6
152,197.6,23.3,14.2,197.6,23.3,14.2,16.6
154,187.8,21.1,9.5,187.8,21.1,9.5,15.6
155,4.1,11.6,5.7,4.1,11.6,5.7,3.2
157,149.8,1.3,24.3,149.8,1.3,24.3,10.1
158,11.7,36.9,45.2,11.7,36.9,45.2,7.3
159,131.7,18.4,34.6,131.7,18.4,34.6,12.9
160,172.5,18.1,30.7,172.5,18.1,30.7,14.4
161,85.7,35.8,49.3,85.7,35.8,49.3,13.3
162,188.4,18.1,25.6,188.4,18.1,25.6,14.9
163,163.5,36.8,7.4,163.5,36.8,7.4,18.0
164,117.2,14.7,5.4,117.2,14.7,5.4,11.9
166,17.9,37.6,21.6,17.9,37.6,21.6,8.0
167,206.8,5.2,19.4,206.8,5.2,19.4,12.2
170,50.0,11.6,18.4,50.0,11.6,18.4,8.4
171,164.5,20.9,47.4,164.5,20.9,47.4,14.5
172,19.6,20.1,17.0,19.6,20.1,17.0,7.6
173,168.4,7.1,12.8,168.4,7.1,12.8,11.7
174,222.4,3.4,13.1,222.4,3.4,13.1,11.5
177,170.2,7.8,35.2,170.2,7.8,35.2,11.7
179,165.6,10.0,17.6,165.6,10.0,17.6,12.6
180,156.6,2.6,8.3,156.6,2.6,8.3,10.5
181,218.5,5.4,27.4,218.5,5.4,27.4,12.2
182,56.2,5.7,29.7,56.2,5.7,29.7,8.7
186,139.5,2.1,26.6,139.5,2.1,26.6,10.3
187,191.1,28.7,18.2,191.1,28.7,18.2,17.3
189,18.7,12.1,23.4,18.7,12.1,23.4,6.7
191,75.5,10.8,6.0,75.5,10.8,6.0,9.9
192,17.2,4.1,31.6,17.2,4.1,31.6,5.9
194,149.7,35.6,6.0,149.7,35.6,6.0,17.3
195,38.2,3.7,13.8,38.2,3.7,13.8,7.6
196,94.2,4.9,8.1,94.2,4.9,8.1,9.7
197,177.0,9.3,6.4,177.0,9.3,6.4,12.8
199,232.1,8.6,8.7,232.1,8.6,8.7,13.4
201,8.9,7.8599999999999985,38.786,42.275,37.335,38.335,2.08
203,30.3,8.26,50.31,143.92499999999995,39.23499999999999,49.725,3.7
204,36.16,2.16,50.224,171.76,10.26,49.64,2.58
206,11.5,6.56,20.21,54.625,31.16,19.975,2.3600000000000003
207,24.040000000000006,3.92,9.976,114.19,18.62,9.86,2.64
208,1.72,0.42,0.86,8.17,1.995,0.85,0.96
209,39.96000000000001,0.52,18.232,189.81,2.47,18.02,2.12
210,13.22,1.16,20.812,62.795,5.51,20.57,1.72
211,42.94,4.800000000000002,3.44,203.965,22.8,3.4,3.48
213,19.5,1.52,6.192,92.625,7.22,6.12,1.94
214,40.82,6.58,39.56,193.895,31.254999999999995,39.1,3.8
216,13.56,7.32,27.9027,64.41,34.77,27.57825,2.5
217,56.28,7.920000000000001,47.988,267.33,37.62,47.43,4.88
218,13.840000000000002,4.1000000000000005,15.738,65.74,19.475,15.555,2.26
219,29.460000000000004,4.78,16.426000000000002,139.935,22.705,16.235,2.92
220,43.68000000000001,5.54,45.924,207.48,26.315,45.39,3.6
221,47.48,1.02,20.21,225.53,4.845,19.975,2.5
222,2.64,3.18,42.656000000000006,12.54,15.105,42.16,1.12
223,45.66,3.38,22.531999999999996,216.885,16.054999999999996,22.27,3.1
224,12.46,2.52,15.738,59.185,11.97,15.555,1.94
225,52.58,0.7000000000000001,16.77,249.755,3.325,16.575,2.4000000000000004
226,28.58,5.86,10.835999999999999,135.755,27.835,10.71,3.0
227,48.02,3.34,19.694000000000003,228.095,15.864999999999998,19.465,3.18
228,49.76000000000001,5.420000000000001,19.694000000000003,236.36,25.745,19.465,3.78
229,14.12,3.2,35.087999999999994,67.07,15.2,34.68,2.1
230,58.58,5.66,37.152,278.25499999999994,26.885,36.72,4.28
231,22.58,3.48,33.196,107.255,16.529999999999998,32.81,2.3800000000000003
232,19.44,0.30000000000000004,25.8,92.34,1.4249999999999998,25.5,1.92
233,53.12000000000001,4.0,0.258,252.32,19.0,0.255,3.48
234,19.14,0.28,6.364,90.915,1.3299999999999998,6.29,1.9
235,58.14,0.82,7.31,276.165,3.895,7.225,2.5600000000000005
236,53.38,8.76,4.3,253.555,41.60999999999999,4.25,5.08
238,8.620000000000001,5.34,30.186,40.945,25.365,29.835,2.02
239,45.6,7.540000000000001,27.52,216.6,35.815,27.2,4.3
240,40.5,4.46,27.176,192.375,21.185,26.86,3.3200000000000003
241,35.4,6.68,33.282000000000004,168.15,31.73,32.895,3.4200000000000004
242,58.72000000000001,5.54,1.548,278.92,26.315,1.53,4.14
243,41.38,1.6800000000000002,22.704,196.555,7.979999999999999,22.44,2.58
244,5.0200000000000005,5.1400000000000015,37.238,23.845,24.415,36.805,1.7000000000000002
245,35.02,4.5,27.09,166.345,21.375,26.775,2.9800000000000004
246,17.94,1.98,30.701999999999998,85.215,9.405,30.345,2.12
247,47.98,8.3,15.91,227.905,39.425,15.725,4.64
248,45.44,3.16,42.913999999999994,215.84,15.01,42.415,2.9600000000000004
249,13.380000000000004,2.34,31.648,63.555,11.114999999999998,31.28,1.94
250,39.96000000000001,0.6200000000000001,29.756,189.81,2.945,29.41,2.28
251,20.08,1.92,3.096,95.38,9.12,3.06,2.14
252,43.28,8.340000000000002,34.056,205.58,39.615,33.660000000000004,4.5200000000000005
254,52.54,5.760000000000002,13.674000000000001,249.565,27.36,13.515,4.04
256,1.46,5.620000000000001,35.604,6.935,26.695,35.19,1.1
257,27.24,3.84,14.276000000000002,129.39,18.24,14.11,2.64
259,42.14,5.9,7.997999999999999,200.165,28.025,7.905,3.68
260,10.7,0.4,18.404,50.825,1.9,18.19,1.62
261,52.26000000000001,8.540000000000001,47.042,248.235,40.565,46.49500000000001,4.84
262,47.86000000000001,3.1,23.478,227.335,14.725,23.205,3.14
263,20.540000000000006,5.920000000000001,7.224,97.565,28.12,7.14,2.8000000000000003
264,26.22,8.56,24.854,124.545,40.66,24.565,3.6
265,13.8,1.8600000000000003,0.774,65.55,8.835,0.765,1.8600000000000003
266,6.300000000000002,4.920000000000001,1.892,29.925,23.37,1.87,1.9
267,27.860000000000007,2.9000000000000004,8.771999999999998,132.335,13.775,8.67,2.68
268,47.48,5.5,9.46,225.53,26.125,9.35,3.78
269,43.36000000000001,8.78,23.392,205.96,41.705,23.12,4.46
270,39.82,6.120000000000001,33.282000000000004,189.145,29.07,32.895,3.66
271,21.96,2.8600000000000003,27.261999999999997,104.31,13.585,26.945,2.4800000000000004
272,5.36,6.6000000000000005,16.598,25.46,31.35,16.405,1.7600000000000002
273,25.880000000000006,1.14,26.918000000000003,122.93,5.415,26.605,2.2
274,42.68000000000001,4.920000000000001,11.265999999999998,202.73,23.37,11.135,3.4000000000000004
276,5.5,0.3200000000000001,17.802,26.125,1.52,17.595,1.38
277,24.1,5.7,12.212,114.475,27.075,12.07,2.84
278,1.08,5.98,8.084,5.13,28.405,7.99,1.06
279,23.200000000000006,1.54,19.866,110.2,7.314999999999999,19.635,2.2
280,15.28,5.34,19.178,72.58,25.365,18.955,2.3600000000000003
281,47.96000000000001,0.82,31.734,227.81,3.895,31.365,2.4600000000000004
282,15.06,4.0600000000000005,27.95,71.535,19.285,27.625,2.26
283,13.68,8.9,30.616,64.98,42.275,30.26,2.72
284,42.7,8.6,29.068,202.825,40.85,28.73,4.34
286,15.26,5.5,13.76,72.485,26.125,13.6,2.4000000000000004
287,22.14,8.120000000000001,54.352,105.165,38.57,53.72,3.2
290,26.860000000000007,0.98,7.997999999999999,127.585,4.655,7.905,2.24
291,5.7200000000000015,0.30000000000000004,28.38,27.17,1.4249999999999998,28.05,1.46
292,43.54,6.7,50.74,206.815,31.825,50.15,3.88
294,21.480000000000004,2.8000000000000003,9.374,102.03,13.3,9.265,2.3000000000000003
295,32.660000000000004,6.32,45.494,155.135,30.02,44.965,3.38
296,39.52,0.7000000000000001,5.074,187.72,3.325,5.0150000000000015,2.34
297,36.98,4.2,18.92,175.655,19.95,18.7,3.1
298,57.94,8.459999999999999,44.032,275.215,40.185,43.52,5.08
299,27.04,8.340000000000002,39.474000000000004,128.43999999999997,39.615,39.015,3.44
300,44.48,0.86,42.828,211.28,4.085,42.33,2.34
302,56.04,2.02,18.404,266.19,9.595,18.19,2.9600000000000004
303,37.58000000000001,3.44,15.393999999999998,178.505,16.34,15.214999999999998,2.94
304,47.64,6.8599999999999985,4.558,226.29,32.584999999999994,4.505,4.14
306,5.0,2.2,25.542,23.75,10.45,25.245,1.4400000000000002
307,18.08,0.06,19.952,85.88,0.285,19.72,1.74
308,2.62,0.08000000000000003,22.016,12.445,0.38,21.76,1.06
309,51.08000000000001,5.38,4.73,242.63,25.555,4.675,3.96
310,45.16,1.64,48.59,214.51,7.789999999999999,48.025,2.68
311,48.34,7.6,19.952,229.615,36.1,19.72,4.36
312,35.14,3.08,2.064,166.915,14.63,2.04,2.8200000000000003
313,41.92,4.12,9.202,199.12,19.57,9.095,3.18
315,15.02,7.0,45.321999999999996,71.34499999999998,33.25,44.795,2.52
316,27.84,2.8600000000000003,22.016,132.23999999999998,13.585,21.76,2.44
317,15.28,0.16000000000000006,12.728,72.58,0.76,12.58,1.88
319,3.88,3.2,19.178,18.43,15.2,18.955,1.32
320,28.260000000000005,5.36,39.732,134.235,25.46,39.27,3.1
321,3.76,4.34,43.343999999999994,17.86,20.615,42.84,1.4
322,44.8,0.48,13.415999999999999,212.8,2.28,13.26,2.32
323,24.62,6.920000000000001,10.664000000000001,116.945,32.87,10.54,3.04
325,17.44,2.3600000000000003,22.274,82.84,11.21,22.015,2.12
326,1.56,7.78,43.516000000000005,7.409999999999998,36.955,43.01,1.32
327,16.040000000000006,0.0,7.911999999999999,76.19,0.0,7.8199999999999985,1.7600000000000002
329,11.920000000000002,2.4000000000000004,37.066,56.62,11.4,36.635,1.94
330,0.14,7.920000000000001,7.481999999999998,0.6649999999999999,37.62,7.395,0.3200000000000001
331,53.04,0.58,36.98,251.94,2.755,36.55,2.54
332,1.6800000000000002,5.44,1.806,7.979999999999999,25.84,1.785,1.14
333,43.96000000000001,6.7,38.786,208.81,31.825,38.335,3.92
336,5.120000000000001,7.800000000000002,7.997999999999999,24.32,37.05,7.905,1.9
337,54.74,5.78,51.342,260.015,27.455,50.74500000000001,4.16
338,8.6,5.18,17.63,40.85,24.605,17.425,1.92
339,36.98,8.78,1.462,175.655,41.705,1.4449999999999998,4.14
340,14.68,3.4000000000000004,11.094000000000001,69.73,16.15,10.965,2.18
342,44.1,6.6400000000000015,32.594,209.475,31.540000000000006,32.215,4.0200000000000005
343,20.92,1.14,29.584,99.37,5.415,29.24,2.08
344,19.24,2.9600000000000004,33.454,91.39,14.06,33.065,2.28
345,28.06,0.38,7.74,133.285,1.805,7.649999999999999,2.06
346,48.02,1.46,7.481999999999998,228.095,6.935,7.395,2.64
348,7.6,8.06,10.234,36.1,38.285,10.115,2.18
349,8.940000000000003,5.16,17.715999999999998,42.465,24.51,17.51,2.02
350,56.14,2.78,31.82,266.665,13.205,31.45,3.2200000000000006
351,24.200000000000006,1.6800000000000002,41.88200000000001,114.95,7.979999999999999,41.395,2.32
352,39.52,4.66,12.212,187.72,22.135,12.07,3.3200000000000003
353,34.260000000000005,7.940000000000001,32.422000000000004,162.735,37.715,32.045,3.8
354,37.56,4.2200000000000015,8.17,178.41,20.045,8.075,3.12
355,0.82,2.32,4.902,3.895,11.02,4.845,0.6400000000000001
356,18.78,8.700000000000001,43.43,89.205,41.325,42.925,3.0600000000000005
357,29.960000000000004,0.26,20.898000000000003,142.31,1.235,20.655,2.02
358,2.34,7.38,38.872,11.114999999999998,35.055,38.42,1.46
359,26.34,3.68,29.756,125.11499999999998,17.479999999999997,29.41,2.58
360,34.5,3.620000000000001,26.402,163.875,17.195,26.095,2.8800000000000003
361,17.14,7.16,42.398,81.41499999999998,34.01,41.905,2.66
362,37.68,3.620000000000001,22.016,178.98,17.195,21.76,2.9800000000000004
363,32.7,7.3599999999999985,6.364,155.325,34.959999999999994,6.29,3.6
364,23.44,2.94,4.644,111.34,13.964999999999998,4.59,2.3800000000000003
366,3.58,7.52,18.576,17.005,35.72,18.36,1.6
367,41.36000000000001,1.04,16.683999999999994,196.46,4.94,16.49,2.44
368,43.08000000000001,4.7200000000000015,49.536,204.63,22.42,48.96,3.4200000000000004
369,56.86000000000001,2.12,5.504,270.085,10.07,5.44,3.0
370,10.0,2.32,15.823999999999998,47.5,11.02,15.64,1.6800000000000002
371,32.9,4.18,40.764,156.275,19.855,40.29,2.9000000000000004
372,3.92,4.0200000000000005,14.62,18.62,19.095,14.45,1.52
373,33.68,1.42,11.008,159.98,6.744999999999999,10.88,2.34
374,44.48,0.68,11.265999999999998,211.28,3.23,11.135,2.3000000000000003
376,49.68000000000001,6.04,17.458000000000002,235.98,28.69,17.255,4.04
377,34.04,1.56,30.272,161.68999999999997,7.409999999999998,29.92,2.34
378,55.34,0.46,20.382,262.86499999999995,2.185,20.145,2.3600000000000003
379,33.12,2.0,15.136,157.32,9.5,14.96,2.52
380,31.32,0.52,7.138000000000001,148.76999999999995,2.47,7.0550000000000015,2.1
381,43.7,1.08,23.564,207.575,5.13,23.29,2.44
382,11.240000000000002,1.14,25.542,53.39,5.415,25.245,1.74
384,50.76000000000001,4.260000000000002,25.8,241.11,20.235,25.5,3.5200000000000005
385,41.0,9.02,16.855999999999998,194.75,42.845,16.66,4.5200000000000005
386,27.9,0.42,22.875999999999998,132.525,1.995,22.61,2.06
387,38.22,5.74,15.652000000000001,181.545,27.265,15.47,3.4600000000000004
388,57.2,2.78,3.182,271.7,13.205,3.145,3.18
389,3.74,2.42,20.124000000000002,17.764999999999993,11.495,19.89,1.34
390,7.9,8.22,4.988,37.525,39.045,4.93,2.16
391,15.1,2.16,5.16,71.725,10.26,5.1,1.98
392,3.44,0.82,27.176,16.34,3.895,26.86,1.1800000000000002
393,33.36000000000001,8.4,3.096,158.46,39.9,3.06,3.92
394,29.94,7.120000000000001,5.16,142.21499999999997,33.82,5.1,3.4600000000000004
395,7.6400000000000015,0.7400000000000001,11.868,36.29,3.515,11.73,1.52
396,18.84,0.98,6.965999999999998,89.49,4.655,6.885,1.94
397,35.4,1.8600000000000003,5.504,168.15,8.835,5.44,2.5600000000000005
399,46.42,1.72,7.481999999999998,220.495,8.17,7.395,2.68
400,69.03,11.339999999999998,38.06,195.585,32.129999999999995,3.0448,6.63
401,13.35,11.79,24.805000000000003,37.825,33.404999999999994,1.9844,3.12
402,5.159999999999998,13.77,38.115,14.62,39.015,3.0492,2.79
403,45.45,12.39,32.175000000000004,128.775,35.105,2.574,5.55
404,54.24,3.24,32.120000000000005,153.68,9.18,2.5696,3.87
405,2.61,14.669999999999998,41.25,7.395,41.565,3.3,2.16
406,17.25,9.839999999999998,12.925,48.875,27.879999999999995,1.034,3.54
407,36.06,5.88,6.38,102.17,16.66,0.5104,3.96
408,2.58,0.63,0.55,7.31,1.785,0.044000000000000004,1.44
409,59.94,0.78,11.66,169.83,2.21,0.9328,3.18
410,19.83,1.74,13.31,56.185,4.93,1.0648,2.58
411,64.41,7.199999999999998,2.2,182.495,20.4,0.17600000000000002,5.22
412,7.14,10.53,36.24500000000001,20.23,29.835,2.8996,2.76
413,29.25,2.28,3.96,82.875,6.46,0.3168,2.91
414,61.23,9.87,25.3,173.485,27.965,2.024,5.7
415,58.62,14.31,29.095,166.09,40.545,2.3276,6.72
416,20.34,10.98,17.84475,57.63,31.11,1.4275799999999998,3.75
417,84.41999999999999,11.88,30.69,239.19,33.660000000000004,2.4552,7.3199999999999985
418,20.76,6.15,10.065,58.82,17.425,0.8052,3.39
419,44.19000000000001,7.169999999999999,10.505,125.205,20.315,0.8404,4.38
420,65.52,8.309999999999999,29.37,185.64,23.545,2.3496,5.4
421,71.22,1.5299999999999998,12.925,201.79,4.335,1.034,3.75
422,3.96,4.77,27.280000000000005,11.22,13.515,2.1824,1.68
423,68.49,5.0699999999999985,14.41,194.055,14.364999999999998,1.1527999999999998,4.65
424,18.69,3.78,10.065,52.955,10.71,0.8052,2.91
425,78.86999999999998,1.05,10.725,223.465,2.975,0.858,3.6
426,42.87,8.79,6.9300000000000015,121.465,24.905,0.5544,4.5
427,72.03,5.01,12.595,204.085,14.195,1.0075999999999998,4.77
428,74.64,8.13,12.595,211.48,23.035,1.0075999999999998,5.669999999999999
429,21.18,4.8,22.44,60.00999999999999,13.6,1.7951999999999997,3.15
430,87.86999999999998,8.49,23.760000000000005,248.965,24.055,1.9008,6.419999999999999
431,33.87,5.22,21.230000000000004,95.965,14.79,1.6984,3.57
432,29.16,0.45,16.5,82.62,1.275,1.3199999999999998,2.88
433,79.68,6.0,0.165,225.76,17.0,0.013199999999999998,5.22
434,28.71,0.42,4.07,81.345,1.19,0.3256,2.85
435,87.21,1.2299999999999998,4.675000000000002,247.095,3.4849999999999994,0.374,3.84
436,80.07,13.14,2.75,226.865,37.23,0.22,7.619999999999999
437,22.41,14.82,25.135000000000005,63.495,41.99,2.0108,4.409999999999998
438,12.93,8.01,19.305000000000003,36.635,22.695,1.5444,3.03
439,68.39999999999999,11.31,17.6,193.8,32.045,1.4080000000000001,6.45
440,60.75,6.69,17.380000000000006,172.125,18.955,1.3904,4.98
441,53.1,10.02,21.285000000000004,150.45,28.39,1.7028,5.13
442,88.08,8.309999999999999,0.99,249.56,23.545,0.07919999999999999,6.21
443,62.07,2.52,14.52,175.865,7.14,1.1616,3.87
444,7.53,7.709999999999999,23.815,21.335,21.845,1.9052,2.55
445,52.53,6.75,17.325000000000006,148.83499999999995,19.125,1.386,4.47
446,26.91,2.97,19.635,76.245,8.415000000000001,1.5708,3.18
447,71.97,12.45,10.175,203.915,35.275,0.8140000000000001,6.96
448,68.16,4.74,27.445,193.12,13.43,2.1956,4.44
449,20.07,3.51,20.24,56.865,9.945,1.6191999999999998,2.91
450,59.94,0.93,19.03,169.83,2.635,1.5224,3.42
451,30.12,2.88,1.98,85.34,8.16,0.1584,3.2099999999999995
452,64.92,12.51,21.78,183.94,35.445,1.7424,6.78
453,54.78,13.86,32.285000000000004,155.20999999999995,39.27,2.5828,6.3599999999999985
454,78.80999999999997,8.64,8.745000000000001,223.295,24.48,0.6996,6.06
455,59.67,14.82,33.0,169.065,41.99,2.64,7.1099999999999985
456,2.19,8.43,22.77,6.205,23.885,1.8216,1.65
457,40.85999999999999,5.76,9.13,115.76999999999998,16.32,0.7304,3.96
458,63.24,14.88,20.735000000000007,179.18,42.16,1.6588,7.14
459,63.21,8.85,5.115000000000001,179.095,25.075,0.4092,5.52
460,16.05,0.6,11.77,45.475,1.7,0.9416,2.43
461,78.39,12.81,30.085000000000004,222.105,36.295,2.4068,7.26
462,71.79,4.65,15.015000000000002,203.405,13.175,1.2012,4.71
463,30.81,8.88,4.620000000000001,87.295,25.16,0.3696,4.2
464,39.33,12.839999999999998,15.895,111.435,36.38,1.2715999999999998,5.4
465,20.7,2.79,0.4950000000000001,58.65,7.905,0.0396,2.79
466,9.45,7.38,1.2100000000000002,26.775,20.91,0.0968,2.85
467,41.79,4.35,5.61,118.405,12.325,0.4487999999999999,4.02
468,71.22,8.25,6.050000000000002,201.79,23.375,0.484,5.669999999999999
469,65.04,13.17,14.96,184.28,37.315,1.1968,6.69
470,59.73,9.18,21.285000000000004,169.235,26.01,1.7028,5.49
471,32.94,4.29,17.435000000000002,93.33,12.155,1.3947999999999998,3.72
472,8.04,9.9,10.615000000000002,22.78,28.05,0.8492,2.64
473,38.82,1.71,17.215000000000003,109.99,4.845,1.3772,3.3
474,64.02,7.38,7.205,181.39,20.91,0.5763999999999999,5.1
475,5.0699999999999985,13.11,49.17000000000001,14.364999999999998,37.145,3.9336,2.61
476,8.25,0.48,11.385,23.375,1.36,0.9108,2.07
477,36.15,8.549999999999999,7.81,102.425,24.225,0.6247999999999999,4.26
478,1.62,8.969999999999997,5.170000000000001,4.59,25.415,0.4136,1.59
479,34.8,2.31,12.705000000000002,98.6,6.545,1.0164,3.3
480,22.92,8.01,12.265,64.94,22.695,0.9812,3.54
481,71.94,1.2299999999999998,20.295,203.83,3.4849999999999994,1.6236,3.69
482,22.59,6.09,17.875,64.005,17.255,1.43,3.39
483,20.52,13.35,19.58,58.14,37.825,1.5664,4.08
484,64.05,12.9,18.59,181.475,36.55,1.4872,6.51
485,57.96,5.52,36.13500000000001,164.22,15.64,2.8908,4.56
486,22.89,8.25,8.8,64.85499999999999,23.375,0.7040000000000001,3.6
487,33.21,12.18,34.760000000000005,94.095,34.51,2.7808,4.8
488,26.49,7.649999999999999,40.37000000000001,75.05499999999998,21.675,3.2296,3.87
489,32.94,14.339999999999998,28.270000000000003,93.33,40.63,2.2616,5.01
490,40.29,1.47,5.115000000000001,114.155,4.165,0.4092,3.36
491,8.58,0.45,18.15,24.31,1.275,1.452,2.19
492,65.30999999999999,10.05,32.45,185.045,28.475,2.596,5.8199999999999985
493,75.27,10.95,39.765,213.265,31.025,3.1812,6.659999999999998
494,32.22,4.2,5.995000000000001,91.29,11.9,0.4796,3.45
495,48.99,9.48,29.095,138.805,26.86,2.3276,5.0699999999999985
496,59.28,1.05,3.245000000000001,167.95999999999995,2.975,0.2596,3.51
497,55.47,6.3,12.1,157.165,17.849999999999994,0.968,4.65
498,86.91,12.69,28.160000000000004,246.245,35.955,2.2528,7.619999999999999
499,40.56,12.51,25.245,114.92,35.445,2.0196,5.159999999999998
500,66.72,1.2899999999999998,27.39,189.04,3.655,2.1912,3.51
501,88.91999999999999,10.89,43.25750000000001,251.94,30.855,3.4606,7.14
502,84.05999999999997,3.03,11.77,238.17,8.584999999999999,0.9416,4.44
503,56.37,5.159999999999998,9.845,159.715,14.62,0.7875999999999999,4.409999999999998
504,71.46,10.29,2.915,202.47,29.155,0.2332,6.21
505,41.37,13.92,32.45,117.215,39.44,2.596,5.76
506,7.5,3.3,16.335,21.25,9.35,1.3068,2.16
507,27.12,0.09,12.76,76.84,0.255,1.0208,2.61
508,3.93,0.12,14.080000000000002,11.135,0.34,1.1264,1.59
509,76.62,8.069999999999999,3.0250000000000004,217.09,22.865,0.242,5.94
510,67.74,2.4599999999999995,31.075000000000006,191.93,6.969999999999999,2.486,4.02
511,72.50999999999998,11.4,12.76,205.445,32.3,1.0208,6.54
